NAK,NAKAMA GROUP PLC,BBG000BMGFH9
NBR,NAMIBIAN RESOURCES PLC,BBG000MVB1X5
NANO,NANOCO GROUP PLC,BBG000F8R2J1
NASA,NASSTAR PLC,BBG000HVFNN0
0955830D,NATION MEDIA PLC,BBG00614YCQ4
NEX,NATIONAL EXPRESS GROUP PLC,BBG000BC8163
NG/,NATIONAL GRID PLC,BBG000FV67Q4
NGR,NATURE GROUP PLC,BBG000NYGMX7
NBNK,NBNK INVESTMENTS PLC,BBG0014FD040
NCC,NCC GROUP PLC,BBG000BS8WF0
NCCL,NCONDEZI ENERGY LTD,BBG000QXWDH6
NKTN,NEKTAN PLC,BBG0078S4QL9
NET,NETCALL PLC,BBG000BMKD07
NETD,NETDIMENSIONS HOLDINGS LTD,BBG000HH92X3
NPT,NETPLAY TV PLC,BBG000HS1203
NSCI,NETSCIENTIFIC PLC,BBG00579Y771
NEPI,NEW EUROPE PROPERTY INVEST,BBG000C93DB2
NTLG,NEW TREND LIFESTYLE GROUP PL,BBG00341VG51
NEW,NEW WORLD OIL AND GAS PLC,BBG001P9D8R9
NWR,NEW WORLD RESOURCES PLC-A SH,BBG001NPMWJ1
NWT,NEWMARK SECURITY PLC,BBG000BVW0H4
NFC,NEXT FIFTEEN COMMUNICATIONS,BBG000BBM285
NXT,NEXT PLC,BBG000BDWPY0
1284522D,NEXTENERGY EUROPEAN SOLAR UT,BBG009CB55Y8
NICL,NICHOLS PLC,BBG000BDWD68
HAWK,NIGHTHAWK ENERGY PLC,BBG000P3MMP5
NSA,NIMROD SEA ASSETS LTD,BBG0066HJTN3
NMBA,NMBZ HOLDINGS LTD,BBG000CS9W95
NMB,NMBZ HOLDINGS LTD,BBG000BFXQY2
NMC,NMC HEALTH PLC,BBG002QJCKC4
NHL,NOMAD FOODS LTD,BBG0069MXRN7
NSF,NON-STANDARD FINANCE PLC,BBG0082BCF44
NCON,NORCON PLC,BBG000H5SJ52
NXR,NORCROS PLC,BBG000RPL849
NMG,NORICUM GOLD LTD-DI,BBG001BRV8Z5
NSH,NORISH PLC,BBG000BDWHP8
NBB,NORMAN BROADBENT PLC,BBG000MXFN69
NHY,NORSK HYDRO ASA,BBG000D0R7N4
NMD,NORTH MIDLAND CONSTRUCTION,BBG000BNJ6V8
NRRP,NORTH RIVER RESOURCES PLC,BBG000QMD0Y0
NTA,NORTHACRE PLC,BBG000D17XY5
NAR,NORTHAMBER PLC,BBG000BDW262
NBI,NORTHBRIDGE INDUSTRIAL SERVI,BBG000HWC7T0
NCT,NORTHCOTE ENERGY LTD,BBG003TNSXN3
NTBR,NORTHERN BEAR PLC,BBG000QKC8Y8
NOP,NORTHERN PETROLEUM PLC,BBG000G15C07
NTG,NORTHGATE PLC,BBG000C2QT81
NWIG,NORTHWEST INVESTMENT GROUP L,BBG000QXW7H9
NTOG,NOSTRA TERRA OIL & GAS CO,BBG000RN1NN2
NOG,NOSTRUM OIL & GAS PLC,BBG006JNVQY6
NOVA,NOVA RESOURCES LTD,BBG000R8GXR3
NVA,NOVAE GROUP PLC,BBG000BR21D8
NUOG,NU-OIL AND GAS PLC,BBG000C37RW7
NUM,NUMIS CORPORATION PLC,BBG000LY7CK5
NWF,NWF GROUP PLC,BBG000F4F1K3
NYO,NYOTA MINERALS LTD,BBG000LBMRJ7
OBT,OBTALA RESOURCES LTD,BBG000VGNTR1
OCDO,OCADO GROUP PLC,BBG000BDXZH6
OCN,OCEAN WILSONS HOLDINGS LTD,BBG000BT00L9
OCT,OCTAGONAL PLC,BBG000WHFD29
OEX,OILEX LTD,BBG000R29GQ2
OML,OLD MUTUAL PLC,BBG000BYWXJ4
ODX,OMEGA DIAGNOSTICS GROUP PLC,BBG000M011W5
